drug_name,raw_score,total_reviews,positive_reviews,side_effects,age_completion,gender_completion,trust_score
dextromethorphan / promethazine,1.0,1,1,0,0.0,0.0,1.0
dextrostat,1.0,1,1,0,0.0,0.0,1.0
diazepam intensol,1.0,1,1,0,0.0,1.0,1.0
xerac ac,1.0,2,2,0,0.0,0.0,1.0
xopenex hfa,1.0,1,1,0,0.0,0.0,1.0
yellow fever vaccine,1.0,1,1,0,0.0,0.0,1.0
zafirlukast,1.0,1,1,0,0.0,0.0,1.0
zelapar,1.0,1,1,0,0.0,0.0,1.0
zenatane,1.0,2,2,0,0.5,0.5,1.0
acetaminophen / dichloralphenazone / isometheptene mucate,0.8125,16,14,1,0.0,0.0,0.90625
urea,0.8,5,4,0,0.0,0.0,0.9
fludrocortisone,0.8,5,4,0,0.0,0.2,0.9
kenalog,0.75,4,3,0,0.0,0.0,0.875
formoterol,0.75,4,3,0,0.25,0.0,0.875
tocilizumab,0.75,4,3,0,0.25,0.5,0.875
aubagio,0.75,4,3,0,0.25,0.25,0.875
flector patch,0.7058823529411765,17,12,0,0.0,0.0,0.8529411764705883
naprelan,0.7,5,4,0,0.0,0.0,0.85
etodolac,0.6923076923076923,13,9,0,0.0,0.15384615384615385,0.8461538461538461
tri-luma,0.6875,16,11,0,0.0,0.375,0.84375
lactobacillus acidophilus,0.6875,8,6,0,0.0,0.25,0.84375
omega-3 polyunsaturated fatty acids,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
aspirin / caffeine / orphenadrine,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
chlorpheniramine / pseudoephedrine,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
astelin,0.6666666666666666,3,2,0,0.0,0.6666666666666666,0.8333333333333333
pazeo,0.6666666666666666,3,2,0,0.0,0.6666666666666666,0.8333333333333333
staxyn,0.6666666666666666,3,2,0,0.3333333333333333,0.3333333333333333,0.8333333333333333
desogen,0.6666666666666666,3,2,0,0.0,0.3333333333333333,0.8333333333333333
glycerin,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
imodium,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
primatene mist,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
pramoxine,0.6666666666666666,15,10,0,0.0,0.06666666666666667,0.8333333333333333
prilosec,0.6666666666666666,6,4,0,0.0,0.16666666666666666,0.8333333333333333
emtricitabine / tenofovir,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
gemfibrozil,0.6666666666666666,3,2,0,0.0,0.3333333333333333,0.8333333333333333
altabax,0.6666666666666666,3,2,0,0.6666666666666666,0.0,0.8333333333333333
sporanox,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
advil cold and sinus,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
necon 7 / 7 / 7,0.6666666666666666,3,2,0,0.3333333333333333,0.0,0.8333333333333333
ritalin la,0.6666666666666666,3,2,0,0.3333333333333333,0.0,0.8333333333333333
minipress,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
magnesium oxide,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
biaxin xl,0.6666666666666666,3,2,0,0.3333333333333333,0.0,0.8333333333333333
androderm,0.6666666666666666,3,2,0,0.0,0.3333333333333333,0.8333333333333333
anaprox,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
pimozide,0.6666666666666666,3,2,0,0.0,0.3333333333333333,0.8333333333333333
dolutegravir,0.6666666666666666,3,2,0,0.0,0.3333333333333333,0.8333333333333333
patanase,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
pamine forte,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
pin-x,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
ciprofloxacin / dexamethasone,0.6666666666666666,9,6,0,0.0,0.1111111111111111,0.8333333333333333
aldactone,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
qnasl,0.6666666666666666,3,2,0,0.0,0.0,0.8333333333333333
orthovisc,0.6521739130434783,23,15,0,0.13043478260869565,0.34782608695652173,0.8260869565217391
cataflam,0.65,8,6,0,0.0,0.0,0.825
benzaclin,0.6363636363636364,11,7,0,0.18181818181818182,0.5454545454545454,0.8181818181818181
enalapril,0.625,4,3,0,0.0,0.25,0.8125
infliximab,0.62,25,16,0,0.04,0.2,0.81
breo ellipta,0.6153846153846154,13,8,0,0.0,0.23076923076923078,0.8076923076923077
fiorinal,0.6111111111111112,9,6,0,0.1111111111111111,0.2222222222222222,0.8055555555555556
hycodan,0.6111111111111112,9,6,0,0.0,0.0,0.8055555555555556
raltegravir,0.6,5,3,0,0.0,0.4,0.8
daliresp,0.6,5,3,0,0.0,0.0,0.8
dimethyl fumarate,0.6,5,3,0,0.0,0.2,0.8
aspirin / butalbital / caffeine / codeine,0.6,5,3,0,0.2,0.0,0.8
belimumab,0.6,5,4,1,0.2,0.6,0.8
abatacept,0.6,5,3,0,0.0,0.4,0.8
opana,0.5785714285714285,14,9,0,0.5,0.07142857142857142,0.7892857142857143
frova,0.5714285714285714,7,4,0,0.0,0.42857142857142855,0.7857142857142857
halobetasol,0.5714285714285714,7,4,0,0.0,0.0,0.7857142857142857
sanctura,0.5714285714285714,7,4,0,0.0,0.0,0.7857142857142857
elbasvir / grazoprevir,0.5714285714285714,7,4,0,0.2857142857142857,0.7142857142857143,0.7857142857142857
parnate,0.5625,8,6,1,0.5,0.375,0.78125
rocephin,0.5555555555555556,9,5,0,0.1111111111111111,0.1111111111111111,0.7777777777777778
tessalon perles,0.55,10,6,0,0.1,0.1,0.775
soolantra,0.55,20,11,0,0.0,0.2,0.775
silver sulfadiazine,0.5454545454545454,11,8,2,0.0,0.09090909090909091,0.7727272727272727
trulance,0.5416666666666666,12,7,0,0.0,0.08333333333333333,0.7708333333333333
propoxyphene,0.5333333333333333,6,4,0,0.0,0.0,0.7666666666666666
miralax,0.525,20,12,1,0.0,0.2,0.7625
synvisc,0.52,10,6,0,0.0,0.1,0.76
pentosan polysulfate sodium,0.5142857142857143,14,8,0,0.07142857142857142,0.14285714285714285,0.7571428571428571
ultram er,0.5125,8,5,0,0.25,0.125,0.75625
icosapent,0.5,4,2,0,0.0,0.0,0.75
hydrochlorothiazide / telmisartan,0.5,2,1,0,0.0,0.0,0.75
thiothixene,0.5,2,1,0,0.0,0.0,0.75
hiprex,0.5,4,2,0,0.0,0.0,0.75
histrelin,0.5,2,1,0,0.0,0.0,0.75
humulin r u-500 (concentrated),0.5,2,1,0,0.0,0.0,0.75
chlorpheniramine,0.5,4,2,0,0.0,0.0,0.75
orudis,0.5,2,1,0,0.0,0.0,0.75
aspirin / carisoprodol,0.5,4,2,0,0.0,0.25,0.75
cevimeline,0.5,2,1,0,0.0,0.5,0.75
arixtra,0.5,2,1,0,0.0,0.0,0.75
asmanex twisthaler,0.5,4,2,0,0.0,0.0,0.75
astepro,0.5,4,3,1,0.0,0.0,0.75
eslicarbazepine,0.5,2,1,0,0.0,0.0,0.75
bensal hp,0.5,2,1,0,0.0,0.5,0.75
norpramin,0.5,2,1,0,0.0,0.0,0.75
esgic-plus,0.5,2,1,0,0.0,0.5,0.75
restasis,0.5,8,4,0,0.0,0.0,0.75
prozac weekly,0.5,2,1,0,0.0,0.0,0.75
pseudoephedrine / triprolidine,0.5,2,1,0,0.5,0.0,0.75
psyllium,0.5,2,1,0,0.0,0.0,0.75
umeclidinium,0.5,2,1,0,0.0,0.0,0.75
pepto-bismol,0.5,2,1,0,0.0,0.0,0.75
supartz,0.5,4,3,1,0.0,0.0,0.75
avalide,0.5,2,1,0,0.0,0.5,0.75
avodart,0.5,4,2,0,0.5,0.0,0.75
tarka,0.5,2,1,0,0.0,0.0,0.75
paregoric,0.5,2,1,0,0.0,0.0,0.75
depo-testosterone,0.5,2,1,0,0.0,0.0,0.75
pegasys,0.5,2,1,0,0.0,0.5,0.75
pancrelipase,0.5,4,2,0,0.0,0.25,0.75
balacet,0.5,2,1,0,0.0,0.0,0.75
banzel,0.5,2,1,0,0.0,0.0,0.75
pramosone,0.5,2,1,0,0.0,0.0,0.75
praluent,0.5,4,2,0,0.5,0.5,0.75
azilsartan medoxomil / chlorthalidone,0.5,2,1,0,0.0,0.5,0.75
azor,0.5,8,4,0,0.0,0.125,0.75
desowen,0.5,2,1,0,0.0,0.0,0.75
azelex,0.5,2,1,0,0.0,0.0,0.75
climara pro,0.5,2,1,0,0.0,0.0,0.75
kenalog-10,0.5,2,1,0,0.0,0.0,0.75
aldara,0.5,6,3,0,0.0,0.5,0.75
xopenex,0.5,2,1,0,0.0,0.0,0.75
zantac,0.5,2,1,0,0.0,0.0,0.75
imdur,0.5,2,1,0,0.0,0.5,0.75
felbamate,0.5,2,1,0,0.0,0.0,0.75
eylea,0.5,4,2,0,0.0,0.0,0.75
acetaminophen / dexbrompheniramine / pseudoephedrine,0.5,2,1,0,0.0,0.0,0.75
acetaminophen / caffeine,0.5,2,1,0,0.0,0.0,0.75
apomorphine,0.5,3,2,0,0.0,0.0,0.75
nature-throid,0.5,7,4,0,0.0,0.0,0.75
femhrt,0.5,2,1,0,0.0,0.0,0.75
rifaximin,0.5,16,9,1,0.0,0.1875,0.75
retin-a,0.5,10,5,0,0.2,0.5,0.75
uribel,0.5,2,1,0,0.0,0.5,0.75
acetaminophen / butalbital / caffeine / codeine,0.5,4,2,0,0.25,0.25,0.75
famotidine,0.5,6,3,0,0.3333333333333333,0.0,0.75
qvar,0.5,2,1,0,0.0,0.5,0.75
feldene,0.5,2,1,0,0.0,0.0,0.75
bepotastine,0.5,5,3,0,0.0,0.0,0.75
novolog,0.5,2,1,0,0.0,0.0,0.75
estradiol / levonorgestrel,0.5,2,1,0,0.0,0.0,0.75
ethinyl estradiol / folic acid / levonorgestrel,0.5,2,1,0,0.0,0.0,0.75
advair hfa,0.5,2,1,0,0.5,0.5,0.75
ddavp,0.5,2,1,0,0.0,0.0,0.75
aflibercept,0.5,4,2,0,0.25,0.25,0.75
fluorometholone,0.5,2,1,0,0.0,0.5,0.75
fluphenazine,0.5,3,2,0,0.0,0.0,0.75
colazal,0.5,2,1,0,0.0,0.5,0.75
haldol,0.5,6,3,0,0.0,0.16666666666666666,0.75
lantus solostar,0.5,2,1,0,0.0,0.0,0.75
allerx dose pack df,0.5,2,1,0,0.0,0.0,0.75
cefixime,0.5,2,1,0,0.0,0.0,0.75
levalbuterol,0.5,4,2,0,0.0,0.0,0.75
tenex,0.5,2,1,0,0.0,0.0,0.75
tesamorelin,0.5,2,1,0,0.0,0.5,0.75
cefpodoxime,0.5,2,1,0,0.0,0.0,0.75
cefprozil,0.5,2,1,0,0.0,0.0,0.75
acetaminophen / pamabrom,0.5,4,2,0,0.25,0.75,0.75
aciphex,0.5,8,4,0,0.0,0.0,0.75
crotamiton,0.5,2,1,0,0.0,0.0,0.75
amoxapine,0.5,2,1,0,0.0,0.0,0.75
antipyrine / benzocaine,0.5,2,1,0,0.0,0.0,0.75
anoro ellipta,0.5,5,3,0,0.2,0.2,0.75
motrin ib,0.5,2,1,0,0.0,0.0,0.75
motrin,0.5,4,2,0,0.0,0.0,0.75
mucinex dm,0.5,2,1,0,0.0,0.0,0.75
daklinza,0.5,2,1,0,0.5,0.5,0.75
rosula,0.5,2,1,0,0.0,0.0,0.75
camphor / menthol,0.5,2,1,0,0.0,0.0,0.75
carbamide peroxide,0.5,2,1,0,0.0,0.0,0.75
minocin,0.5,2,1,0,0.0,0.5,0.75
micardis hct,0.5,2,1,0,0.0,0.0,0.75
budeprion xl,0.5,2,1,0,0.0,0.5,0.75
seconal,0.5,2,1,0,0.0,0.0,0.75
sildec-pe dm,0.5,2,1,0,0.0,0.0,0.75
florastor,0.5,2,1,0,0.0,0.0,0.75
cyclizine,0.5,2,1,0,0.0,0.0,0.75
canasa,0.5,2,1,0,0.0,0.0,0.75
levorphanol,0.5,2,1,0,0.0,0.0,0.75
levsin,0.5,2,1,0,0.0,0.5,0.75
lexiscan,0.5,2,1,0,0.0,0.0,0.75
lidocaine / prilocaine,0.5,2,1,0,0.0,0.0,0.75
locoid lipocream,0.5,2,1,0,0.0,0.0,0.75
lodine,0.5,2,1,0,0.0,0.0,0.75
colesevelam,0.5,14,8,0,0.07142857142857142,0.21428571428571427,0.75
flurandrenolide,0.5,2,1,0,0.0,0.0,0.75
commit,0.5,2,1,0,0.0,0.5,0.75
goody's extra-strength headache powders,0.5,2,1,0,0.0,0.5,0.75
gralise,0.5,2,1,0,0.0,0.0,0.75
foradil aerolizer,0.5,2,1,0,0.0,0.0,0.75
guaifenesin / phenylephrine,0.5,2,1,0,0.0,0.5,0.75
magnesium amino acids chelate,0.5,2,1,0,0.5,0.0,0.75
lovenox,0.5,4,2,0,0.0,0.0,0.75
insulin glulisine,0.5,2,1,0,0.0,0.0,0.75
efudex,0.5,8,5,1,0.0,0.125,0.75
