drug_name,trust_score,total_reviews,positive_reviews,side_effects,age_completion,gender_completion
analpram-hc,1.0,1,1,0,0.0,0.0
symax duotab,1.0,1,1,0,0.0,0.0
anucort-hc,1.0,1,1,0,0.0,0.0
pyridostigmine,1.0,4,4,0,0.25,0.5
prosom,1.0,1,1,0,0.0,0.0
pletal,1.0,1,1,0,0.0,0.0
proventil,1.0,2,2,0,0.0,0.0
prodrin,1.0,1,1,0,0.0,0.0
bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride,1.0,1,1,0,0.0,0.0
bismuth subgallate,1.0,1,1,0,0.0,0.0
pulmozyme,1.0,1,1,0,0.0,0.0
bepreve,1.0,1,1,0,0.0,0.0
biafine,1.0,1,1,0,0.0,0.0
bicillin l-a,1.0,1,1,0,0.0,1.0
bioflavonoids / zinc glycinate,1.0,1,1,0,0.0,0.0
betaseron,1.0,1,1,0,0.0,0.0
mephobarbital,1.0,2,2,0,0.0,0.0
condylox,1.0,1,1,0,0.0,0.0
collagenase santyl,1.0,1,1,0,0.0,0.0
codimal dm,1.0,1,1,0,0.0,0.0
metaproterenol,1.0,1,1,0,0.0,0.0
derma-smoothe / fs (scalp),1.0,1,1,0,0.0,0.0
kineret,1.0,3,3,0,0.0,0.0
kemadrin,1.0,1,1,0,0.0,0.0
kalydeco,1.0,1,1,0,0.0,1.0
salivamax,1.0,1,1,0,0.0,0.0
isoproterenol,1.0,1,1,0,0.0,0.0
invega trinza,1.0,3,3,0,0.0,0.6666666666666666
junel fe 24,1.0,1,1,0,0.0,1.0
iron polysaccharide,1.0,1,1,0,0.0,0.0
stromectol,1.0,1,1,0,0.0,0.0
sotalol hydrochloride af,1.0,1,1,0,0.0,0.0
spectracef,1.0,1,1,0,0.0,0.0
aristocort a,1.0,1,1,0,0.0,0.0
aranesp,1.0,2,2,0,0.0,0.0
soma compound,1.0,2,2,0,0.0,0.5
somatropin,1.0,2,2,0,0.0,0.0
magaldrate / simethicone,1.0,1,1,0,0.0,0.0
lucentis,1.0,1,1,0,1.0,0.0
coartem,1.0,1,1,0,0.0,0.0
medrox,1.0,1,1,0,0.0,0.0
magnacet,1.0,1,1,0,0.0,0.0
cromolyn,1.0,1,1,0,0.0,0.0
coreg cr,1.0,1,1,0,0.0,0.0
loteprednol / tobramycin,1.0,2,2,0,0.0,0.0
magnesium aspartate,1.0,1,1,0,0.0,0.0
reprexain,1.0,1,1,0,0.0,0.0
lindane,1.0,1,1,0,0.0,0.0
lidocaine / menthol,1.0,1,1,0,0.0,0.0
lo / ovral,1.0,1,1,0,0.0,0.0
benzefoam,1.0,1,1,0,0.0,0.0
benazepril / hydrochlorothiazide,1.0,1,1,0,0.0,0.0
rezira,1.0,1,1,0,0.0,0.0
darbepoetin alfa,1.0,2,2,0,0.0,0.0
dapagliflozin / metformin,1.0,1,1,0,0.0,1.0
kyprolis,1.0,1,1,0,0.0,0.0
lacrisert,1.0,1,1,0,0.0,0.0
daypro,1.0,2,2,0,0.0,0.0
silvadene,1.0,1,1,0,0.0,0.0
krystexxa,1.0,1,1,0,0.0,0.0
kerydin,1.0,3,3,0,0.0,0.0
ketotifen,1.0,1,1,0,0.0,0.0
decadron,1.0,1,1,0,0.0,0.0
salicylic acid / sulfur,1.0,1,1,0,0.0,0.0
atralin,1.0,6,6,0,0.16666666666666666,0.16666666666666666
atrovent nasal,1.0,1,1,0,0.0,0.0
sevelamer,1.0,1,1,0,0.0,0.0
s-adenosylmethionine,1.0,1,1,0,0.0,0.0
saccharomyces boulardii lyo,1.0,1,1,0,0.0,0.0
sebulex,1.0,1,1,0,0.0,0.0
sancuso,1.0,1,1,0,0.0,0.0
sarna sensitive,1.0,1,1,0,0.0,0.0
saw palmetto,1.0,2,2,0,0.0,0.0
rowasa,1.0,1,1,0,0.0,0.0
radiaplexrx,1.0,1,1,0,0.0,1.0
q-tapp dm,1.0,1,1,0,0.0,0.0
bazedoxifene / conjugated estrogens,1.0,3,3,0,0.0,0.0
azilect,1.0,2,2,0,0.0,0.5
salagen,1.0,1,1,0,0.0,0.0
rozex,1.0,1,1,0,0.0,1.0
rydapt,1.0,1,1,0,0.0,0.0
rynatan,1.0,1,1,0,0.0,0.0
rosac,1.0,1,1,0,0.0,0.0
rocuronium,1.0,2,2,0,0.0,0.0
b & o supprettes,1.0,2,2,0,0.0,0.0
bacitracin / neomycin / polymyxin b,1.0,2,2,0,0.0,0.0
levocarnitine,1.0,1,1,0,0.0,0.0
lesinurad,1.0,1,1,0,0.0,0.0
rogaine men's extra strength,1.0,1,1,0,0.0,0.0
rogaine women's,1.0,1,1,0,0.0,0.0
wp thyroid,1.0,1,1,0,0.0,0.0
vosol hc,1.0,1,1,0,0.0,0.0
vospire er,1.0,1,1,0,0.0,0.0
acetaminophen / caffeine / isometheptene mucate,1.0,1,1,0,0.0,0.0
abobotulinumtoxina,1.0,1,1,0,0.0,0.0
zafirlukast,1.0,1,1,0,0.0,0.0
ethmozine,1.0,1,1,0,0.0,0.0
estratest h.s.,1.0,1,1,0,0.0,0.0
esterified estrogens,1.0,1,1,0,0.0,0.0
excedrin pm,1.0,1,1,0,0.0,0.0
evoxac,1.0,1,1,0,0.0,0.0
evzio,1.0,1,1,0,0.0,0.0
wart remover,1.0,1,1,0,0.0,0.0
epoprostenol,1.0,1,1,0,0.0,0.0
epsom salt,1.0,1,1,0,0.0,0.0
eskalith,1.0,1,1,0,0.0,0.0
esomeprazole / naproxen,1.0,3,3,0,0.0,0.3333333333333333
noroxin,1.0,1,1,0,0.0,1.0
norpace,1.0,1,1,0,0.0,0.0
norpace cr,1.0,1,1,0,1.0,0.0
nortrel 7 / 7 / 7,1.0,1,1,0,0.0,1.0
nizatidine,1.0,1,1,0,0.0,0.0
erythrocin,1.0,1,1,0,0.0,0.0
epinephrine,1.0,1,1,0,0.0,0.0
viread,1.0,1,1,0,0.0,0.0
vienva,1.0,1,1,0,0.0,0.0
vicodin hp,1.0,1,1,0,0.0,0.0
ultram odt,1.0,1,1,0,1.0,0.0
tylox,1.0,3,3,0,0.0,0.0
tyvaso,1.0,1,1,0,0.0,0.0
tryptophan,1.0,1,1,0,0.0,0.0
vandazole,1.0,1,1,0,0.0,0.0
acnex,1.0,1,1,0,0.0,0.0
acrivastine / pseudoephedrine,1.0,1,1,0,0.0,0.0
acuvail,1.0,1,1,0,0.0,0.0
acidophilus,1.0,2,2,0,0.0,0.0
finacea,1.0,2,2,0,0.0,0.0
femring,1.0,1,1,0,0.0,0.0
fenoprofen,1.0,1,1,0,0.0,0.0
acetaminophen / chlorpheniramine,1.0,1,1,0,0.0,0.0
acetaminophen / dextromethorphan / pseudoephedrine,1.0,1,1,0,0.0,0.0
vasotec,1.0,1,1,0,0.0,0.0
feen-a-mint,1.0,1,1,0,0.0,0.0
ephedrine,1.0,1,1,0,1.0,0.0
enjuvia,1.0,1,1,0,0.0,0.0
acetaminophen / dichloralphenazone / isometheptene mucate,0.90625,16,14,1,0.0,0.0
urea,0.9,5,4,0,0.0,0.0
fludrocortisone,0.9,5,4,0,0.0,0.2
aubagio,0.875,4,3,0,0.25,0.25
tocilizumab,0.875,4,3,0,0.25,0.5
kenalog,0.875,4,3,0,0.0,0.0
formoterol,0.875,4,3,0,0.25,0.0
flector patch,0.8529411764705883,17,12,0,0.0,0.0
naprelan,0.85,5,4,0,0.0,0.0
etodolac,0.8461538461538461,13,9,0,0.0,0.15384615384615385
lactobacillus acidophilus,0.84375,8,6,0,0.0,0.25
tri-luma,0.84375,16,11,0,0.0,0.375
anaprox,0.8333333333333333,3,2,0,0.0,0.0
pramoxine,0.8333333333333333,15,10,0,0.0,0.06666666666666667
primatene mist,0.8333333333333333,3,2,0,0.0,0.0
prilosec,0.8333333333333333,6,4,0,0.0,0.16666666666666666
altabax,0.8333333333333333,3,2,0,0.6666666666666666,0.0
pazeo,0.8333333333333333,3,2,0,0.0,0.6666666666666666
necon 7 / 7 / 7,0.8333333333333333,3,2,0,0.3333333333333333,0.0
patanase,0.8333333333333333,3,2,0,0.0,0.0
ciprofloxacin / dexamethasone,0.8333333333333333,9,6,0,0.0,0.1111111111111111
glycerin,0.8333333333333333,3,2,0,0.0,0.0
gemfibrozil,0.8333333333333333,3,2,0,0.0,0.3333333333333333
emtricitabine / tenofovir,0.8333333333333333,3,2,0,0.0,0.0
advil cold and sinus,0.8333333333333333,3,2,0,0.0,0.0
omega-3 polyunsaturated fatty acids,0.8333333333333333,3,2,0,0.0,0.0
chlorpheniramine / pseudoephedrine,0.8333333333333333,3,2,0,0.0,0.0
pamine forte,0.8333333333333333,3,2,0,0.0,0.0
qnasl,0.8333333333333333,3,2,0,0.0,0.0
androderm,0.8333333333333333,3,2,0,0.0,0.3333333333333333
aspirin / caffeine / orphenadrine,0.8333333333333333,3,2,0,0.0,0.0
pin-x,0.8333333333333333,3,2,0,0.0,0.0
biaxin xl,0.8333333333333333,3,2,0,0.3333333333333333,0.0
minipress,0.8333333333333333,3,2,0,0.0,0.0
dolutegravir,0.8333333333333333,3,2,0,0.0,0.3333333333333333
imodium,0.8333333333333333,3,2,0,0.0,0.0
pimozide,0.8333333333333333,3,2,0,0.0,0.3333333333333333
ritalin la,0.8333333333333333,3,2,0,0.3333333333333333,0.0
desogen,0.8333333333333333,3,2,0,0.0,0.3333333333333333
sporanox,0.8333333333333333,3,2,0,0.0,0.0
astelin,0.8333333333333333,3,2,0,0.0,0.6666666666666666
magnesium oxide,0.8333333333333333,3,2,0,0.0,0.0
staxyn,0.8333333333333333,3,2,0,0.3333333333333333,0.3333333333333333
aldactone,0.8333333333333333,3,2,0,0.0,0.0
orthovisc,0.8260869565217391,23,15,0,0.13043478260869565,0.34782608695652173
cataflam,0.825,8,6,0,0.0,0.0
benzaclin,0.8181818181818181,11,7,0,0.18181818181818182,0.5454545454545454
enalapril,0.8125,4,3,0,0.0,0.25
infliximab,0.81,25,16,0,0.04,0.2
breo ellipta,0.8076923076923077,13,8,0,0.0,0.23076923076923078
hycodan,0.8055555555555556,9,6,0,0.0,0.0
fiorinal,0.8055555555555556,9,6,0,0.1111111111111111,0.2222222222222222
abatacept,0.8,5,3,0,0.0,0.4
dimethyl fumarate,0.8,5,3,0,0.0,0.2
raltegravir,0.8,5,3,0,0.0,0.4
daliresp,0.8,5,3,0,0.0,0.0
aspirin / butalbital / caffeine / codeine,0.8,5,3,0,0.2,0.0
belimumab,0.8,5,4,1,0.2,0.6
opana,0.7892857142857143,14,9,0,0.5,0.07142857142857142
sanctura,0.7857142857142857,7,4,0,0.0,0.0
halobetasol,0.7857142857142857,7,4,0,0.0,0.0
elbasvir / grazoprevir,0.7857142857142857,7,4,0,0.2857142857142857,0.7142857142857143
frova,0.7857142857142857,7,4,0,0.0,0.42857142857142855
parnate,0.78125,8,6,1,0.5,0.375
rocephin,0.7777777777777778,9,5,0,0.1111111111111111,0.1111111111111111
soolantra,0.775,20,11,0,0.0,0.2
tessalon perles,0.775,10,6,0,0.1,0.1
silver sulfadiazine,0.7727272727272727,11,8,2,0.0,0.09090909090909091
trulance,0.7708333333333333,12,7,0,0.0,0.08333333333333333
propoxyphene,0.7666666666666666,6,4,0,0.0,0.0
miralax,0.7625,20,12,1,0.0,0.2
synvisc,0.76,10,6,0,0.0,0.1
pentosan polysulfate sodium,0.7571428571428571,14,8,0,0.07142857142857142,0.14285714285714285
ultram er,0.75625,8,5,0,0.25,0.125
felbamate,0.75,2,1,0,0.0,0.0
acetaminophen / pamabrom,0.75,4,2,0,0.25,0.75
depo-testosterone,0.75,2,1,0,0.0,0.0
detrol,0.75,2,1,0,0.0,0.0
desowen,0.75,2,1,0,0.0,0.0
insulin glulisine,0.75,2,1,0,0.0,0.0
stalevo,0.75,2,1,0,0.0,0.0
arixtra,0.75,2,1,0,0.0,0.0
asmanex twisthaler,0.75,4,2,0,0.0,0.0
aspirin / butalbital / caffeine,0.75,15,8,0,0.0,0.26666666666666666
colesevelam,0.75,14,8,0,0.07142857142857142,0.21428571428571427
lovenox,0.75,4,2,0,0.0,0.0
apomorphine,0.75,3,2,0,0.0,0.0
levorphanol,0.75,2,1,0,0.0,0.0
lodine,0.75,2,1,0,0.0,0.0
cyclizine,0.75,2,1,0,0.0,0.0
crotamiton,0.75,2,1,0,0.0,0.0
lovastatin,0.75,2,1,0,0.0,0.0
bensal hp,0.75,2,1,0,0.0,0.5
retin-a,0.75,10,5,0,0.2,0.5
banzel,0.75,2,1,0,0.0,0.0
restasis,0.75,8,4,0,0.0,0.0
lidocaine / prilocaine,0.75,2,1,0,0.0,0.0
locoid lipocream,0.75,2,1,0,0.0,0.0
azelex,0.75,2,1,0,0.0,0.0
azilsartan medoxomil / chlorthalidone,0.75,2,1,0,0.0,0.5
seconal,0.75,2,1,0,0.0,0.0
balacet,0.75,2,1,0,0.0,0.0
aspirin / carisoprodol,0.75,4,2,0,0.0,0.25
avalide,0.75,2,1,0,0.0,0.5
astepro,0.75,4,3,1,0.0,0.0
sildec-pe dm,0.75,2,1,0,0.0,0.0
ddavp,0.75,2,1,0,0.0,0.0
daklinza,0.75,2,1,0,0.5,0.5
esgic-plus,0.75,2,1,0,0.0,0.5
estradiol / levonorgestrel,0.75,2,1,0,0.0,0.0
eslicarbazepine,0.75,2,1,0,0.0,0.0
ethinyl estradiol / folic acid / levonorgestrel,0.75,2,1,0,0.0,0.0
lexiscan,0.75,2,1,0,0.0,0.0
levalbuterol,0.75,4,2,0,0.0,0.0
acetaminophen / caffeine,0.75,2,1,0,0.0,0.0
levsin,0.75,2,1,0,0.0,0.5
lantus solostar,0.75,2,1,0,0.0,0.0
rifaximin,0.75,16,9,1,0.0,0.1875
rosula,0.75,2,1,0,0.0,0.0
qvar,0.75,2,1,0,0.0,0.5
avodart,0.75,4,2,0,0.5,0.0
azor,0.75,8,4,0,0.0,0.125
aciphex,0.75,8,4,0,0.0,0.0
norpramin,0.75,2,1,0,0.0,0.0
acetaminophen / dexbrompheniramine / pseudoephedrine,0.75,2,1,0,0.0,0.0
enablex,0.75,4,2,0,0.0,0.25
eltrombopag,0.75,2,1,0,0.0,0.5
amoxapine,0.75,2,1,0,0.0,0.0
antipyrine / benzocaine,0.75,2,1,0,0.0,0.0
anoro ellipta,0.75,5,3,0,0.2,0.2
tarka,0.75,2,1,0,0.0,0.0
imdur,0.75,2,1,0,0.0,0.5
insulin aspart,0.75,2,1,0,0.0,0.5
inderal la,0.75,2,1,0,0.0,0.5
icosapent,0.75,4,2,0,0.0,0.0
psyllium,0.75,2,1,0,0.0,0.0
pseudoephedrine / triprolidine,0.75,2,1,0,0.5,0.0
pramosone,0.75,2,1,0,0.0,0.0
magnesium amino acids chelate,0.75,2,1,0,0.5,0.0
kenalog-10,0.75,2,1,0,0.0,0.0
hydrochlorothiazide / telmisartan,0.75,2,1,0,0.0,0.0
humulin r u-500 (concentrated),0.75,2,1,0,0.0,0.0
hiprex,0.75,4,2,0,0.0,0.0
histrelin,0.75,2,1,0,0.0,0.0
gralise,0.75,2,1,0,0.0,0.0
haldol,0.75,6,3,0,0.0,0.16666666666666666
guaifenesin / phenylephrine,0.75,2,1,0,0.0,0.5
goody's extra-strength headache powders,0.75,2,1,0,0.0,0.5
tesamorelin,0.75,2,1,0,0.0,0.5
thiothixene,0.75,2,1,0,0.0,0.0
budeprion xl,0.75,2,1,0,0.0,0.5
proair hfa,0.75,2,1,0,0.0,0.0
minocin,0.75,2,1,0,0.0,0.5
climara pro,0.75,2,1,0,0.0,0.0
clearlax,0.75,3,2,0,0.0,0.3333333333333333
alrex,0.75,2,1,0,0.0,0.0
praluent,0.75,4,2,0,0.5,0.5
micardis hct,0.75,2,1,0,0.0,0.0
prilosec otc,0.75,4,2,0,0.25,0.0
prozac weekly,0.75,2,1,0,0.0,0.0
commit,0.75,2,1,0,0.0,0.5
colazal,0.75,2,1,0,0.0,0.5
bepotastine,0.75,5,3,0,0.0,0.0
privine,0.75,2,1,0,0.0,0.0
chlorpheniramine,0.75,4,2,0,0.0,0.0
motrin ib,0.75,2,1,0,0.0,0.0
motrin,0.75,4,2,0,0.0,0.0
mucinex dm,0.75,2,1,0,0.0,0.0
paregoric,0.75,2,1,0,0.0,0.0
pepto-bismol,0.75,2,1,0,0.0,0.0
canasa,0.75,2,1,0,0.0,0.0
camphor / menthol,0.75,2,1,0,0.0,0.0
amantadine,0.75,4,2,0,0.25,0.25
tenex,0.75,2,1,0,0.0,0.0
flurandrenolide,0.75,2,1,0,0.0,0.0
duexis,0.75,2,1,0,0.0,0.0
allerx dose pack df,0.75,2,1,0,0.0,0.0
foradil aerolizer,0.75,2,1,0,0.0,0.0
supartz,0.75,4,3,1,0.0,0.0
pancrelipase,0.75,4,2,0,0.0,0.25
pegasys,0.75,2,1,0,0.0,0.5
florastor,0.75,2,1,0,0.0,0.0
aflibercept,0.75,4,2,0,0.25,0.25
efudex,0.75,8,5,1,0.0,0.125
fluphenazine,0.75,3,2,0,0.0,0.0
uribel,0.75,2,1,0,0.0,0.5
advair hfa,0.75,2,1,0,0.5,0.5
umeclidinium,0.75,2,1,0,0.0,0.0
carbamide peroxide,0.75,2,1,0,0.0,0.0
novolog,0.75,2,1,0,0.0,0.0
fluorometholone,0.75,2,1,0,0.0,0.5
cefixime,0.75,2,1,0,0.0,0.0
orudis,0.75,2,1,0,0.0,0.0
nature-throid,0.75,7,4,0,0.0,0.0
cevimeline,0.75,2,1,0,0.0,0.5
cefpodoxime,0.75,2,1,0,0.0,0.0
cefprozil,0.75,2,1,0,0.0,0.0
xopenex,0.75,2,1,0,0.0,0.0
eylea,0.75,4,2,0,0.0,0.0
famotidine,0.75,6,3,0,0.3333333333333333,0.0
acetaminophen / butalbital / caffeine / codeine,0.75,4,2,0,0.25,0.25
femhrt,0.75,2,1,0,0.0,0.0
zantac,0.75,2,1,0,0.0,0.0
feldene,0.75,2,1,0,0.0,0.0
meperidine,0.7384615384615385,13,7,0,0.15384615384615385,0.15384615384615385
androgel,0.7375,20,13,2,0.35,0.4
xifaxan,0.7363636363636363,11,7,1,0.0,0.18181818181818182
sodium hyaluronate,0.7361111111111112,36,18,1,0.1388888888888889,0.25
ziana,0.7352941176470589,17,8,0,0.058823529411764705,0.29411764705882354
olopatadine,0.7333333333333334,15,7,0,0.06666666666666667,0.13333333333333333
fluocinolone / hydroquinone / tretinoin,0.7333333333333334,9,5,0,0.0,0.2222222222222222
hyaluronan,0.7318181818181818,22,11,0,0.13636363636363635,0.3181818181818182
fioricet,0.7303571428571429,28,17,1,0.0,0.17857142857142858
rabeprazole,0.7272727272727273,11,5,0,0.0,0.0
voltaren,0.725,20,9,0,0.25,0.1
hylan g-f 20,0.7222222222222222,18,8,0,0.05555555555555555,0.1111111111111111
oxytrol,0.7222222222222222,18,9,1,0.05555555555555555,0.16666666666666666
allopurinol,0.7222222222222222,9,4,0,0.3333333333333333,0.1111111111111111
fluticasone,0.7189655172413794,29,15,1,0.0,0.06896551724137931
tussionex pennkinetic,0.717391304347826,23,12,0,0.08695652173913043,0.043478260869565216
nasonex,0.7142857142857143,7,3,0,0.0,0.0
fleet enema,0.7142857142857143,7,3,0,0.0,0.14285714285714285
ibuprofen,0.7142857142857143,14,7,0,0.07142857142857142,0.07142857142857142
invega sustenna,0.7142857142857143,7,3,0,0.0,0.14285714285714285
hydrocodone / ibuprofen,0.7125,20,11,2,0.05,0.15
celecoxib,0.7121212121212122,33,15,0,0.21212121212121213,0.21212121212121213
pimecrolimus,0.71,10,5,0,0.1,0.1
clorazepate,0.71,5,3,0,0.0,0.0
adapalene / benzoyl peroxide,0.7094202898550724,138,64,3,0.050724637681159424,0.2391304347826087
benzocaine,0.7083333333333334,6,3,0,0.0,0.0
embeda,0.705,10,6,1,0.3,0.3
bromocriptine,0.7,5,2,0,0.0,0.4
methenamine,0.7,5,2,0,0.0,0.4
trospium,0.7,5,2,0,0.2,0.4
quinine,0.7,5,2,0,0.0,0.0
xenical,0.7,5,2,0,0.0,0.8
zelnorm,0.7,5,2,0,0.0,0.4
evekeo,0.7,5,2,0,0.0,0.0
acetaminophen / phenyltoloxamine,0.7,5,2,0,0.0,0.0
crisaborole,0.7,5,3,1,0.0,0.4
azelastine,0.7,15,6,0,0.0,0.06666666666666667
duac,0.7,38,16,0,0.02631578947368421,0.15789473684210525
trilipix,0.7,5,2,0,0.0,0.0
lastacaft,0.7,5,2,0,0.0,0.2
frovatriptan,0.7,10,5,1,0.0,0.1
nasacort,0.7,10,5,1,0.0,0.2
benzoyl peroxide / clindamycin,0.6987654320987655,81,33,0,0.06172839506172839,0.19753086419753085
voltaren gel,0.6967741935483871,31,15,1,0.06451612903225806,0.12903225806451613
invega,0.6911764705882353,17,8,0,0.058823529411764705,0.17647058823529413
axert,0.6875,4,2,0,0.0,0.0
desonide,0.6875,8,3,0,0.0,0.0
vedolizumab,0.6875,4,2,0,0.0,0.0
ampyra,0.6875,8,4,1,0.0,0.125
relafen,0.6875,8,3,0,0.0,0.125
sulfacetamide sodium / sulfur,0.6875,8,3,0,0.0,0.25
midazolam,0.6875,8,4,1,0.0,0.125
robaxin,0.6875,8,4,0,0.0,0.25
proctofoam,0.6875,4,2,0,0.0,0.5
norco,0.6865853658536585,41,20,2,0.04878048780487805,0.1951219512195122
epiduo,0.6848684210526316,76,31,0,0.05263157894736842,0.3026315789473684
